image,mask,dataset,class,split
BUSI/Dataset_BUSI_with_GT/benign/benign (151).png,BUSI/Dataset_BUSI_with_GT/benign/benign (151)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (132).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (132)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (21).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (21)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (326).png,BUSI/Dataset_BUSI_with_GT/benign/benign (326)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (118).png,BUSI/Dataset_BUSI_with_GT/benign/benign (118)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (381).png,BUSI/Dataset_BUSI_with_GT/benign/benign (381)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (119).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (119)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (243).png,BUSI/Dataset_BUSI_with_GT/benign/benign (243)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (348).png,BUSI/Dataset_BUSI_with_GT/benign/benign (348)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (271).png,BUSI/Dataset_BUSI_with_GT/benign/benign (271)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (52).png,BUSI/Dataset_BUSI_with_GT/benign/benign (52)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (78).png,BUSI/Dataset_BUSI_with_GT/benign/benign (78)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (148).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (148)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (408).png,BUSI/Dataset_BUSI_with_GT/benign/benign (408)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (377).png,BUSI/Dataset_BUSI_with_GT/benign/benign (377)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (216).png,BUSI/Dataset_BUSI_with_GT/benign/benign (216)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (189).png,BUSI/Dataset_BUSI_with_GT/benign/benign (189)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (434).png,BUSI/Dataset_BUSI_with_GT/benign/benign (434)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (178).png,BUSI/Dataset_BUSI_with_GT/benign/benign (178)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (118).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (118)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (397).png,BUSI/Dataset_BUSI_with_GT/benign/benign (397)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (292).png,BUSI/Dataset_BUSI_with_GT/benign/benign (292)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (125).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (125)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (208).png,BUSI/Dataset_BUSI_with_GT/benign/benign (208)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (7).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (7)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (117).png,BUSI/Dataset_BUSI_with_GT/benign/benign (117)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (163).png,BUSI/Dataset_BUSI_with_GT/benign/benign (163)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (195).png,BUSI/Dataset_BUSI_with_GT/benign/benign (195)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (342).png,BUSI/Dataset_BUSI_with_GT/benign/benign (342)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (98).png,BUSI/Dataset_BUSI_with_GT/benign/benign (98)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (191).png,BUSI/Dataset_BUSI_with_GT/benign/benign (191)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (88).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (88)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (94).png,BUSI/Dataset_BUSI_with_GT/benign/benign (94)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (313).png,BUSI/Dataset_BUSI_with_GT/benign/benign (313)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (158).png,BUSI/Dataset_BUSI_with_GT/benign/benign (158)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (171).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (171)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (427).png,BUSI/Dataset_BUSI_with_GT/benign/benign (427)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (105).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (105)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (168).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (168)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (161).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (161)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (248).png,BUSI/Dataset_BUSI_with_GT/benign/benign (248)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (65).png,BUSI/Dataset_BUSI_with_GT/benign/benign (65)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (193).png,BUSI/Dataset_BUSI_with_GT/benign/benign (193)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (346).png,BUSI/Dataset_BUSI_with_GT/benign/benign (346)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (410).png,BUSI/Dataset_BUSI_with_GT/benign/benign (410)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (148).png,BUSI/Dataset_BUSI_with_GT/benign/benign (148)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (48).png,BUSI/Dataset_BUSI_with_GT/benign/benign (48)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (398).png,BUSI/Dataset_BUSI_with_GT/benign/benign (398)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (61).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (61)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (136).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (136)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (72).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (72)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (38).png,BUSI/Dataset_BUSI_with_GT/benign/benign (38)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (241).png,BUSI/Dataset_BUSI_with_GT/benign/benign (241)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (162).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (162)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (4).png,BUSI/Dataset_BUSI_with_GT/benign/benign (4)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (177).png,BUSI/Dataset_BUSI_with_GT/benign/benign (177)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (389).png,BUSI/Dataset_BUSI_with_GT/benign/benign (389)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (31).png,BUSI/Dataset_BUSI_with_GT/benign/benign (31)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (291).png,BUSI/Dataset_BUSI_with_GT/benign/benign (291)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (343).png,BUSI/Dataset_BUSI_with_GT/benign/benign (343)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (107).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (107)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (182).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (182)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (168).png,BUSI/Dataset_BUSI_with_GT/benign/benign (168)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (128).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (128)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (91).png,BUSI/Dataset_BUSI_with_GT/benign/benign (91)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (386).png,BUSI/Dataset_BUSI_with_GT/benign/benign (386)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (138).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (138)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (357).png,BUSI/Dataset_BUSI_with_GT/benign/benign (357)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (332).png,BUSI/Dataset_BUSI_with_GT/benign/benign (332)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (239).png,BUSI/Dataset_BUSI_with_GT/benign/benign (239)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (6).png,BUSI/Dataset_BUSI_with_GT/benign/benign (6)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (99).png,BUSI/Dataset_BUSI_with_GT/benign/benign (99)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (70).png,BUSI/Dataset_BUSI_with_GT/benign/benign (70)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (199).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (199)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (217).png,BUSI/Dataset_BUSI_with_GT/benign/benign (217)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (169).png,BUSI/Dataset_BUSI_with_GT/benign/benign (169)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (232).png,BUSI/Dataset_BUSI_with_GT/benign/benign (232)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (28).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (28)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (279).png,BUSI/Dataset_BUSI_with_GT/benign/benign (279)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (51).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (51)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (59).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (59)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (307).png,BUSI/Dataset_BUSI_with_GT/benign/benign (307)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (172).png,BUSI/Dataset_BUSI_with_GT/benign/benign (172)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (337).png,BUSI/Dataset_BUSI_with_GT/benign/benign (337)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (165).png,BUSI/Dataset_BUSI_with_GT/benign/benign (165)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (125).png,BUSI/Dataset_BUSI_with_GT/benign/benign (125)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (23).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (23)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (143).png,BUSI/Dataset_BUSI_with_GT/benign/benign (143)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (109).png,BUSI/Dataset_BUSI_with_GT/benign/benign (109)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (81).png,BUSI/Dataset_BUSI_with_GT/benign/benign (81)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (225).png,BUSI/Dataset_BUSI_with_GT/benign/benign (225)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (93).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (93)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (43).png,BUSI/Dataset_BUSI_with_GT/benign/benign (43)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (126).png,BUSI/Dataset_BUSI_with_GT/benign/benign (126)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (173).png,BUSI/Dataset_BUSI_with_GT/benign/benign (173)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (95).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (95)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (33).png,BUSI/Dataset_BUSI_with_GT/benign/benign (33)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (139).png,BUSI/Dataset_BUSI_with_GT/benign/benign (139)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (362).png,BUSI/Dataset_BUSI_with_GT/benign/benign (362)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (338).png,BUSI/Dataset_BUSI_with_GT/benign/benign (338)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (156).png,BUSI/Dataset_BUSI_with_GT/benign/benign (156)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (92).png,BUSI/Dataset_BUSI_with_GT/benign/benign (92)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (388).png,BUSI/Dataset_BUSI_with_GT/benign/benign (388)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (432).png,BUSI/Dataset_BUSI_with_GT/benign/benign (432)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (56).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (56)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (437).png,BUSI/Dataset_BUSI_with_GT/benign/benign (437)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (400).png,BUSI/Dataset_BUSI_with_GT/benign/benign (400)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (170).png,BUSI/Dataset_BUSI_with_GT/benign/benign (170)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (298).png,BUSI/Dataset_BUSI_with_GT/benign/benign (298)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (151).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (151)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (157).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (157)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (399).png,BUSI/Dataset_BUSI_with_GT/benign/benign (399)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (201).png,BUSI/Dataset_BUSI_with_GT/benign/benign (201)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (205).png,BUSI/Dataset_BUSI_with_GT/benign/benign (205)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (23).png,BUSI/Dataset_BUSI_with_GT/benign/benign (23)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (218).png,BUSI/Dataset_BUSI_with_GT/benign/benign (218)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (330).png,BUSI/Dataset_BUSI_with_GT/benign/benign (330)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (296).png,BUSI/Dataset_BUSI_with_GT/benign/benign (296)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (58).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (58)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (310).png,BUSI/Dataset_BUSI_with_GT/benign/benign (310)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (405).png,BUSI/Dataset_BUSI_with_GT/benign/benign (405)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (311).png,BUSI/Dataset_BUSI_with_GT/benign/benign (311)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (69).png,BUSI/Dataset_BUSI_with_GT/benign/benign (69)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (65).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (65)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (20).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (20)_mask.png,BUSI,malignant,val
BUSI/Dataset_BUSI_with_GT/benign/benign (136).png,BUSI/Dataset_BUSI_with_GT/benign/benign (136)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (174).png,BUSI/Dataset_BUSI_with_GT/benign/benign (174)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/benign/benign (120).png,BUSI/Dataset_BUSI_with_GT/benign/benign (120)_mask.png,BUSI,benign,val
BUSI/Dataset_BUSI_with_GT/malignant/malignant (129).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (129)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (425).png,BUSI/Dataset_BUSI_with_GT/benign/benign (425)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (322).png,BUSI/Dataset_BUSI_with_GT/benign/benign (322)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (96).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (96)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (246).png,BUSI/Dataset_BUSI_with_GT/benign/benign (246)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (299).png,BUSI/Dataset_BUSI_with_GT/benign/benign (299)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (394).png,BUSI/Dataset_BUSI_with_GT/benign/benign (394)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (321).png,BUSI/Dataset_BUSI_with_GT/benign/benign (321)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (162).png,BUSI/Dataset_BUSI_with_GT/benign/benign (162)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (173).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (173)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (12).png,BUSI/Dataset_BUSI_with_GT/benign/benign (12)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (161).png,BUSI/Dataset_BUSI_with_GT/benign/benign (161)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (87).png,BUSI/Dataset_BUSI_with_GT/benign/benign (87)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (349).png,BUSI/Dataset_BUSI_with_GT/benign/benign (349)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (138).png,BUSI/Dataset_BUSI_with_GT/benign/benign (138)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (153).png,BUSI/Dataset_BUSI_with_GT/benign/benign (153)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (41).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (41)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (186).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (186)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (222).png,BUSI/Dataset_BUSI_with_GT/benign/benign (222)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (35).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (35)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (220).png,BUSI/Dataset_BUSI_with_GT/benign/benign (220)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (62).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (62)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (414).png,BUSI/Dataset_BUSI_with_GT/benign/benign (414)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (100).png,BUSI/Dataset_BUSI_with_GT/benign/benign (100)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (116).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (116)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (416).png,BUSI/Dataset_BUSI_with_GT/benign/benign (416)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (38).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (38)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (413).png,BUSI/Dataset_BUSI_with_GT/benign/benign (413)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (76).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (76)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (197).png,BUSI/Dataset_BUSI_with_GT/benign/benign (197)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (290).png,BUSI/Dataset_BUSI_with_GT/benign/benign (290)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (134).png,BUSI/Dataset_BUSI_with_GT/benign/benign (134)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (184).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (184)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (178).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (178)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (104).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (104)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (159).png,BUSI/Dataset_BUSI_with_GT/benign/benign (159)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (108).png,BUSI/Dataset_BUSI_with_GT/benign/benign (108)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (45).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (45)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (204).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (204)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (1).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (1)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (361).png,BUSI/Dataset_BUSI_with_GT/benign/benign (361)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (71).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (71)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (15).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (15)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (409).png,BUSI/Dataset_BUSI_with_GT/benign/benign (409)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (258).png,BUSI/Dataset_BUSI_with_GT/benign/benign (258)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (15).png,BUSI/Dataset_BUSI_with_GT/benign/benign (15)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (288).png,BUSI/Dataset_BUSI_with_GT/benign/benign (288)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (379).png,BUSI/Dataset_BUSI_with_GT/benign/benign (379)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (175).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (175)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (37).png,BUSI/Dataset_BUSI_with_GT/benign/benign (37)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (219).png,BUSI/Dataset_BUSI_with_GT/benign/benign (219)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (395).png,BUSI/Dataset_BUSI_with_GT/benign/benign (395)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (104).png,BUSI/Dataset_BUSI_with_GT/benign/benign (104)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (283).png,BUSI/Dataset_BUSI_with_GT/benign/benign (283)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/benign/benign (127).png,BUSI/Dataset_BUSI_with_GT/benign/benign (127)_mask.png,BUSI,benign,test
BUSI/Dataset_BUSI_with_GT/malignant/malignant (67).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (67)_mask.png,BUSI,malignant,test
BUSI/Dataset_BUSI_with_GT/benign/benign (17).png,BUSI/Dataset_BUSI_with_GT/benign/benign (17)_mask.png,BUSI,benign,test
